key,en,fr,nl,de,es,ar,zh,hi,ja,ru,uk
settings.feverLoopHint,Auto picks a lighter loop for weaker/mobile/non-WebGL2 devices and 4k for stronger desktops. Changes apply when entering or reloading Fever mode.,Auto choisit une boucle legere pour les appareils faibles/mobiles et 4k pour les bureaux plus puissants.,,,,,,,,,
settings.feverLoopResolution,Fever Loop Resolution,Resolution de la boucle Fièvre,,,,,,,,,
settings.globeSettings,Globe Settings,Paramètres du globe,,,,,,,,,
settings.language,Language,Langue,Taal,Sprache,Idioma,,,,,,
settings.languagePickerHint,Choose a language here. The active choice is saved immediately and filters browser voices below.,Choisissez une langue ici. Le choix actif est enregistre immediatement et filtre les voix navigateur ci-dessous.,Kies hier een taal. De actieve keuze wordt meteen opgeslagen en filtert de browserstemmen.,"Waehlen Sie hier eine Sprache. Die aktive Auswahl wird sofort gespeichert und filtert die Browserstimmen.",Elige un idioma aqui. La opcion activa se guarda de inmediato y filtra las voces del navegador.,,,,,,
settings.liveWebSearchCapable,Live web-search capable,Recherche web live disponible,,,,,,,,,
settings.mainTextureHint,"Globe base texture resolution. Starts light, then can upgrade on stronger WebGL2 desktops. Requires page refresh.","Resolution de texture du globe. Demarre leger, puis peut monter sur les bons bureaux WebGL2. Rechargement requis.",,,,,,,,,
settings.mainTextureResolution,Main Texture Resolution,Resolution de texture principale,,,,,,,,,
settings.noImageProvider,No image provider selected,Aucun fournisseur image,,,,,,,,,
settings.noModelSelected,No model selected,Aucun modele selectionne,,,,,,,,,
settings.noTextProvider,No text provider selected,Aucun fournisseur texte,,,,,,,,,
settings.quality1k,1k (fastest),1k (le plus rapide),,,,,,,,,
settings.quality4k,4k (balanced),4k (equilibre),,,,,,,,,
settings.quality8k,8k (highest quality),8k (meilleure qualité),,,,,,,,,
settings.qualityAuto,Auto (recommended),Auto (recommande),,,,,,,,,
settings.refreshLinkedModels,Refresh Linked Models,Rafraîchir les modèles liés,,,,,,,,,
settings.regional,Regional,Régional,,,,,,,,,
settings.regionalAutoLocate,Auto-detect my location when Regional opens,Détecter ma position à l'ouverture de Régional,,,,,,,,,
settings.regionalAutoLocateHint,"Uses IP location first, then browser geolocation if needed, and keeps Regional sublayers synced to the current map focus and search.","Utilise d abord la localisation IP, puis la géolocalisation du navigateur si besoin, et garde les sous-couches Régional synchronisées avec le focus et la recherche de la carte.",,,,,,,,,
settings.regionalLocationPrecision,Regional default scale,Échelle par défaut de Régional,,,,,,,,,
settings.regionalLocationPrecisionHint,"Controls the default Regional scale. IP, search, and map focus updates clamp it to the best available accuracy.","Contrôle l échelle par défaut de Régional. La localisation IP, la recherche et le focus de la carte l adaptent à la meilleure précision disponible.",,,,,,,,,
settings.regionalPrecisionAddress,Precise address,Adresse precise,,,,,,,,,
settings.regionalPrecisionCity,City,Ville,,,,,,,,,
settings.regionalPrecisionContinent,Continental,Continental,,,,,,,,,
settings.regionalPrecisionCountry,Country,Pays,,,,,,,,,
settings.regionalPrecisionRegion,Regional,Régional,,,,,,,,,
settings.resetConfirm,Reset all settings to defaults?,Réinitialiser tous les paramètres ?,Alle instellingen terugzetten?,Alle Einstellungen zuruecksetzen?,Restablecer todos los ajustes?,,,,,,
settings.showCountryLabels,Show country labels on hover,Afficher les pays au survol,,,,,,,,,
settings.showCountryLabelsHint,Display country information when hovering over the globe.,Affiche les informations pays au survol du globe.,,,,,,,,,
settings.showTranscriptReading,Show transcript when reading,Afficher le transcript pendant la lecture,Transcript tonen tijdens lezen,Transkript beim Lesen anzeigen,Mostrar transcripcion al leer,,,,,,
settings.speechPitch,Speech Pitch,Tonalité,Toonhoogte,Tonhoehe,Tono,,,,,,
settings.speechRate,Speech Rate,Vitesse,Snelheid,Geschwindigkeit,Velocidad,,,,,,
settings.textToSpeech,Text-to-Speech,Lecture vocale,Voorlezen,Sprachausgabe,Texto a voz,,,,,,
settings.ttsBridgeHint,"TTS/STT providers, voice, and model stay managed in API Settings. Off keeps translation reading on browser voice; simple Read always uses browser voice.","Les fournisseurs TTS/STT, voix et modèles restent dans API Settings. Désactivé: lecture traduction par voix navigateur.",,,,,,,,,
settings.tutorialTips,Interactive tutorial tips,Conseils interactifs,,,,,,,,,
settings.tutorialTipsHint,Show short usage hints across the interface. Turn off for a cleaner UI.,Affiche de courts conseils dans l'interface. Désactivéz-les pour une interface plus calme.,,,,,,,,,
settings.uiLanguage,UI Language,Langue de l'interface,Interfacetaal,Sprache der Oberflaeche,Idioma de la interfaz,,,,,,
settings.useLinkedAiUpdates,Use linked AI API for web search and updates,Utiliser l API IA liee pour la recherche web et les mises à jour,,,,,,,,,
settings.useLinkedTtsBridge,Use linked TTS bridge for Translate + Read,Utiliser le bridge TTS lié pour Traduire + Lire,,,,,,,,,
settings.using,Using,Utilisée,Gebruikt,Aktiv,En uso,,,,,,
settings.voiceAuto,Auto (best match for language),Auto (meilleure voix pour la langue),Auto (beste stem voor taal),Auto (beste Stimme fuer Sprache),Auto (mejor voz para el idioma),,,,,,
settings.voiceFallback,No browser voice is installed for {language}; Auto will still ask the browser to read in that language.,Aucune voix navigateur n'est installee pour {language}; Auto demandera quand meme au navigateur de lire dans cette langue.,Geen browserstem geinstalleerd voor {language}; Auto vraagt de browser toch in die taal te lezen.,Keine Browserstimme fuer {language} installiert; Auto bittet den Browser trotzdem in dieser Sprache zu lesen.,No hay voz del navegador instalada para {language}; Auto pedira al navegador leer en ese idioma.,,,,,,
settings.voiceFiltered,{count} browser voice(s) match {language}.,{count} voix navigateur correspondent à {language}.,{count} browserstem(men) passen bij {language}.,{count} Browserstimme(n) passen zu {language}.,{count} voz/voces del navegador coinciden con {language}.,,,,,,
topic.aiSearch,AI Search,Recherche IA,AI zoeken,KI-Suche,Busqueda IA,,,,,,
topic.dataLayers,Data Layers,Couches de données,Datalagen,Datenebenen,Capas de datos,,,,,,
topic.media,Media,Media,Media,Medien,Media,,,,,,
topic.search,Search,Recherche,Zoeken,Suche,Buscar,,,,,,
topic.source,Source,Source,Bron,Quelle,Fuente,,,,,,
topic.sources,Sources,Sources,Bronnen,Quellen,Fuentes,,,,,,
topic.submitDraft,Submit draft,Soumettre le brouillon,Concept indienen,Entwurf senden,Enviar borrador,,,,,,
